alarm_id,EUTRANCELLFDD,OSS_ID,alarm_name,severity,start_time,end_time,status,description
ALM-INC1-001,INC1_CELL_A,eniq_oss_1,Cell Barred Active,Major,2026-06-27T08:30:00Z,2026-06-29T18:00:00Z,cleared,CELLBARRED set to 1 and ADMINISTRATIVESTATE set to 0 following CM push at 08:30. Accessibility dropped from 99.88% to 51% on 2026-06-29.
ALM-INC1-002,INC1_CELL_A,eniq_oss_1,Accessibility Below Threshold,Major,2026-06-29T00:00:00Z,2026-06-29T23:59:59Z,cleared,Accessibility dropped to 51.1% against 95% threshold. Correlated with CELLBARRED change on 2026-06-27.
ALM-INC1-D01,INC1_CELL_B,eniq_oss_1,Scheduled Maintenance,Info,2026-06-26T02:00:00Z,2026-06-26T04:00:00Z,cleared,Routine upgrade on INC1_CELL_B. No KPI impact.
ALM-INC2-001,INC2_CELL_B,eniq_oss_1,Backhaul Link Down,Critical,2026-06-29T00:00:00Z,2026-06-29T23:59:59Z,cleared,Fibre backhaul severed between eNB_INC2 and aggregation router. All traffic lost. PMCELLDOWNTIMEAUTO=86400s.
ALM-INC2-002,INC2_CELL_B,eniq_oss_1,Cell Outage,Critical,2026-06-29T00:00:00Z,2026-06-29T23:59:59Z,cleared,Cell completely unavailable — availability 0%. No UE could attach during full ROP period.
ALM-INC2-003,INC2_CELL_B,eniq_oss_1,Cell Availability Below Threshold,Critical,2026-06-29T00:00:00Z,2026-06-29T23:59:59Z,cleared,"Cell availability fell to 0% against 99% threshold. PMCELLDOWNTIMEAUTO=86400, PERIOD_DURATION=86400."
ALM-INC2-D01,INC2_CELL_B,eniq_oss_1,Power Fluctuation,Minor,2026-06-28T14:00:00Z,2026-06-28T14:45:00Z,cleared,Brief power fluctuation. Downtime < 5 minutes. No significant KPI impact.
ALM-INC2-D02,INC2_CELL_C,eniq_oss_1,High Retainability,Warning,2026-06-29T06:00:00Z,2026-06-29T10:00:00Z,cleared,E-RAB abnormal release rate slightly elevated on INC2_CELL_C. Not correlated with INC2_CELL_B outage.
ALM-INC3-001,INC3_CELL_C1,eniq_oss_1,High Interference Detected,Major,2026-06-29T06:00:00Z,2026-06-29T22:00:00Z,cleared,DL interference elevated on eNB_INC3 affecting INC3_CELL_C1. Co-site multi-cell degradation — consistent with external interference. DL throughput dropped ~65% from baseline.
ALM-INC3-002,INC3_CELL_C2,eniq_oss_1,High Interference Detected,Major,2026-06-29T06:00:00Z,2026-06-29T22:00:00Z,cleared,DL interference elevated on eNB_INC3 affecting INC3_CELL_C2. Co-site multi-cell degradation — consistent with external interference. DL throughput dropped ~65% from baseline.
ALM-INC3-003,INC3_CELL_C3,eniq_oss_1,High Interference Detected,Major,2026-06-29T06:00:00Z,2026-06-29T22:00:00Z,cleared,DL interference elevated on eNB_INC3 affecting INC3_CELL_C3. Co-site multi-cell degradation — consistent with external interference. DL throughput dropped ~65% from baseline.
ALM-INC3-004,INC3_CELL_C4,eniq_oss_1,High Interference Detected,Major,2026-06-29T06:00:00Z,2026-06-29T22:00:00Z,cleared,DL interference elevated on eNB_INC3 affecting INC3_CELL_C4. Co-site multi-cell degradation — consistent with external interference. DL throughput dropped ~65% from baseline.
ALM-INC3-005,INC3_CELL_C5,eniq_oss_1,High Interference Detected,Major,2026-06-29T06:00:00Z,2026-06-29T22:00:00Z,cleared,DL interference elevated on eNB_INC3 affecting INC3_CELL_C5. Co-site multi-cell degradation — consistent with external interference. DL throughput dropped ~65% from baseline.
ALM-INC4-001,INC4_NR_D,eniq_oss_1,EN-DC Setup Failure Rate High,Major,2026-06-30T00:00:00Z,2026-06-30T23:59:59Z,active,EN-DC setup success rate fell from 98% baseline to 55% on 2026-06-30. NR Random Access failures are the primary cause. LTE anchor INC4_LTE_ANCHOR remains healthy — confirms 5G NSA layer issue.
ALM-INC4-002,INC4_NR_D,eniq_oss_1,NR Random Access Failure,Major,2026-06-30T00:00:00Z,2026-06-30T23:59:59Z,active,"pmEndcSetupUeSucc=550, pmEndcSetupUeAtt=1000. EN-DC success rate 55% against 90% threshold."
ALM-INC4-D01,INC4_LTE_ANCHOR,eniq_oss_1,X2 Interface Degraded,Warning,2026-06-25T10:00:00Z,2026-06-25T12:00:00Z,cleared,X2 interface latency elevated. Resolved at 12:00. No availability impact. Do not correlate with 2026-06-30 EN-DC failure.
ALM-INC5-001,INC5_CELL_F,eniq_oss_1,Accessibility Slightly Below Threshold,Warning,2026-06-28T00:00:00Z,2026-06-28T23:59:59Z,cleared,Accessibility dropped to 91% on 2026-06-28 — marginally below 95% threshold. No CM change found. No correlated alarm on neighbours. Cause undetermined.
ALM-INC5-D01,INC5_CELL_G,eniq_oss_1,Scheduled Maintenance,Info,2026-06-28T03:00:00Z,2026-06-28T05:00:00Z,cleared,Planned software upgrade on INC5_CELL_G. No impact on INC5_CELL_F.
ALM-HIST-001,INC1_CELL_A,eniq_oss_1,Scheduled Maintenance,Info,2026-04-15T02:00:00Z,2026-04-15T04:00:00Z,cleared,Routine software upgrade. Cell returned to service at 04:00Z. No KPI impact.
ALM-HIST-002,GEN1_CELL_A,eniq_oss_1,Power Fluctuation,Minor,2026-05-03T14:00:00Z,2026-05-03T14:30:00Z,cleared,Brief power event at GEN1 site. PMCELLDOWNTIMEAUTO < 30s. No significant impact.
ALM-HIST-003,GEN2_CELL_B,eniq_oss_1,Backhaul Latency Elevated,Warning,2026-05-20T08:00:00Z,2026-05-20T10:00:00Z,cleared,Backhaul latency briefly elevated at GEN2 site. Resolved automatically. No availability impact.
ALM-HIST-004,INC2_CELL_C,eniq_oss_1,Handover Failure Rate Elevated,Warning,2026-05-15T12:00:00Z,2026-05-15T15:00:00Z,cleared,Mid-period handover failures on INC2_CELL_C. Correlated with mid-period throughput dip. Resolved.
ALM-HIST-005,INC3_CELL_C1,eniq_oss_1,Temporary DL Interference,Warning,2026-05-15T00:00:00Z,2026-05-15T23:59:59Z,cleared,Mild interference event on 2026-05-15 (mid-period background). Not related to 2026-06-29 incident.
